gameid,date,dh,ejectee,ejecteename,team,job,umpire,umpirename,inning,reason
PIT189308102,08/10/1893,2,browt102,Tom Brown,LS3,P,powec902,Charles Power,6,Other
LS3189704240,04/24/1897,0,burkj101,Jesse Burkett,CL4,P,mcdes101,Sandy McDermott,1,Harrassment
LS3189704240,04/24/1897,0,oconj104,Jack O'Connor,CL4,P,mcdes101,Sandy McDermott,9,Harrassment
WSN189706110,06/11/1897,0,crosm101,Monte Cross,SLN,P,sherj901,Jack Sheridan,4,Call on Field
PIT189706240,06/24/1897,0,crosm101,Monte Cross,SLN,P,sherj901,Jack Sheridan,X,Call on Field
PHI189708120,08/12/1897,0,clarb103,Boileryard Clarke,BLN,P,kellk102,Kick Kelly,7,Other
PHI189708120,08/12/1897,0,kellj106,Joe Kelley,BLN,P,kellk102,Kick Kelly,7,Other
PHI189708120,08/12/1897,0,obrit101,Tom O'Brien,BLN,P,kellk102,Kick Kelly,8,Call on Field
BSN190007190,07/19/1900,0,greed103,Danny Green,CHN,P,odayh101,Hank O'Day,7,Call on Field
NY1190007310,07/31/1900,0,dextc101,Charlie Dexter,CHN,P,odayh101,Hank O'Day,1,Call on Field
NY1190008020,08/02/1900,0,davig102,George Davis,NY1,M,terra101,Adonis Terry,6,Call on Field
PHA190104260,04/26/1901,0,everb101,Bill Everitt,WS1,P,haskj901,Jack Haskell,3,Call on Field
PHI190104270,04/27/1901,0,davig102,George Davis,NY1,M,odayh101,Hank O'Day,5,Call on Field
PHI190104270,04/27/1901,0,smita105,Aleck Smith,NY1,P,odayh101,Hank O'Day,5,Call on Field
CHA190104300,04/30/1901,0,buelf101,Fritz Buelow,DET,P,connt901,Tommy Connolly,5,Balls and Strikes
MLA190105030,05/03/1901,0,burkj104,Jimmy Burke,MLA,P,connt901,Tommy Connolly,2,Balls and Strikes
MLA190105030,05/03/1901,0,malob101,Billy Maloney,MLA,P,connt901,Tommy Connolly,4,Balls and Strikes
MLA190105050,05/05/1901,0,grifc101,Clark Griffith,CHA,M,connt901,Tommy Connolly,4,Balls and Strikes
CHN190105070,05/07/1901,0,chanf101,Frank Chance,CHN,P,dwyef101,Frank Dwyer,7,Call on Field
CHN190105070,05/07/1901,0,doylj103,Jack Doyle,CHN,P,dwyef101,Frank Dwyer,4,Other
PHA190105070,05/07/1901,0,mcgrj101,John McGraw,BLA,M,haskj901,Jack Haskell,6,Balls and Strikes
PHA190105070,05/07/1901,0,schmc101,Crazy Schmit,BLA,P,haskj901,Jack Haskell,6,Balls and Strikes
CLE190105080,05/08/1901,0,grifc101,Clark Griffith,CHA,M,sherj901,Jack Sheridan,5,Balls and Strikes
CLE190105080,05/08/1901,0,lachc101,Candy LaChance,CLE,P,sherj901,Jack Sheridan,1,Balls and Strikes
BOS190105090,05/09/1901,0,lajon101,Nap Lajoie,PHA,P,haskj901,Jack Haskell,1,Other
MLA190105100,05/10/1901,0,duffh101,Hugh Duffy,MLA,M,connt901,Tommy Connolly,7,Call on Field
BOS190105110,05/11/1901,0,freeb102,Buck Freeman,BOS,P,haskj901,Jack Haskell,2,Call on Field
NY1190105130,05/13/1901,0,kellj106,Joe Kelley,BRO,P,odayh101,Hank O'Day,9,Other
BLA190105150,05/15/1901,0,mcgrj101,John McGraw,BLA,M,cantj801,Joe Cantillon,8,Balls and Strikes
CHA190105160,05/16/1901,0,duffh101,Hugh Duffy,MLA,P,connt901,Tommy Connolly,1,Call on Field
NY1190105170,05/17/1901,0,davig102,George Davis,NY1,M,nashb101,Billy Nash,5,Call on Field
NY1190105170,05/17/1901,0,tayld102,Dummy Taylor,NY1,P,nashb101,Billy Nash,6,Balls and Strikes
NY1190105170,05/17/1901,0,warnj103,Jack Warner,NY1,P,nashb101,Billy Nash,5,Call on Field
WS1190105200,05/20/1901,0,gradm101,Mike Grady,WS1,P,cantj801,Joe Cantillon,8,Call on Field
CHA190105270,05/27/1901,0,mcgrj101,John McGraw,BLA,M,manna901,Al Mannassau,2,Balls and Strikes
